userId,stockCode,quantity
33333333-3333-3333-3333-000000000001,005930,1
33333333-3333-3333-3333-000000000002,005930,1
33333333-3333-3333-3333-000000000003,005930,1
33333333-3333-3333-3333-000000000004,005930,1
33333333-3333-3333-3333-000000000005,005930,1
33333333-3333-3333-3333-000000000006,005930,1
33333333-3333-3333-3333-000000000007,005930,1
33333333-3333-3333-3333-000000000008,005930,1
33333333-3333-3333-3333-000000000009,005930,1
33333333-3333-3333-3333-000000000010,005930,1
33333333-3333-3333-3333-000000000011,005930,1
33333333-3333-3333-3333-000000000012,005930,1
33333333-3333-3333-3333-000000000013,005930,1
33333333-3333-3333-3333-000000000014,005930,1
33333333-3333-3333-3333-000000000015,005930,1
33333333-3333-3333-3333-000000000016,005930,1
33333333-3333-3333-3333-000000000017,005930,1
33333333-3333-3333-3333-000000000018,005930,1
33333333-3333-3333-3333-000000000019,005930,1
33333333-3333-3333-3333-000000000020,005930,1
